country,num
アフガニスタン,3,424
アラブ首長国連邦,104
ミャンマー,33,303
バーレーン,32
ブータン,498
バングラデシュ,16,835
ブルネイ,38
カンボジア,15,656
スリランカ,27,735
中国,786,830
台湾,59,934
キプロス,47
東ティモール,33
インド,39,764
インドネシア,66,084
イラン,4,117
イラク,161
イスラエル,608
ヨルダン,197
韓国,435,459
朝鮮,27,695
クウェート,39
ラオス,2,917
レバノン,145
マレーシア,10,153
モンゴル,12,784
オマーン,25
モルディブ,49
ネパール,95,367
パキスタン,18,296
フィリピン,282,023
カタール,41
サウジアラビア,509
シリア,900
シンガポール,3,037
タイ,53,344
トルコ,5,741
ベトナム,420,415
イエメン,121
パレスチナ,74
